"Itteration";"Model";"AUC";"ALIFT";"ACC";"Lower";"Upper";"Window-size";"Clustering";"Amount of Clusters";"Silhouette";"% Ommited"
"44";"44";"lr";"0.727480096609715";"0.718";"94.9610077984403";"21501";"26501";"5000";"OPTICS";"173";"";"0.0216836912644799"
"45";"45";"lr";"0.748993963782696";"0.738521126760564";"95.620875824835";"22001";"27001";"5000";"OPTICS";"172";"";"0.0219959247043463"
"46";"46";"lr";"0.259000408711391";"0.303272727272727";"10.497900419916";"22501";"27501";"5000";"OPTICS";"175";"";"0.0226713554031303"
"47";"47";"lr";"0.863356139975768";"0.839907407407408";"93.4013197360528";"23001";"28001";"5000";"OPTICS";"177";"";"0.0221410357186101"
"48";"48";"lr";"0.788394209520026";"0.770145631067961";"93.6412717456509";"23501";"28501";"5000";"OPTICS";"157";"";"0.0231093032302566"
"49";"49";"lr";"0.723778574630211";"0.708826086956522";"93.1013797240552";"24001";"29001";"5000";"OPTICS";"146";"";"0.0232847663319427"
"50";"50";"lr";"0.909786206279631";"0.892571428571428";"96.0407918416317";"24501";"29501";"5000";"OPTICS";"140";"";"0.0240541984812322"
"51";"51";"lr";"0.893263243389586";"0.873452380952382";"95.1409718056389";"25001";"30001";"5000";"OPTICS";"142";"";"0.0240847988513772"
"52";"52";"lr";"0.904076970495449";"0.878584905660378";"93.7612477504499";"25501";"30501";"5000";"OPTICS";"148";"";"0.0240310781516191"
"53";"53";"lr";"0.801855784447661";"0.784148936170213";"94.3611277744451";"26001";"31001";"5000";"OPTICS";"139";"";"0.0249809384417613"
"54";"54";"lr";"0.859694899094232";"0.812834101382489";"86.7426514697061";"26501";"31501";"5000";"OPTICS";"139";"";"0.0251738349700704"
"55";"55";"lr";"0.749048567870486";"0.710719178082192";"83.2633473305339";"27001";"32001";"5000";"OPTICS";"138";"";"0.0250974646621653"
"56";"56";"lr";"0.761505212306128";"0.714966555183947";"82.003599280144";"27501";"32501";"5000";"OPTICS";"145";"";"0.0250702257656357"
"57";"57";"lr";"0.793848851829793";"0.75707729468599";"69.8260347930414";"28001";"33001";"5000";"OPTICS";"129";"";"0.0252189705501127"
"58";"58";"lr";"0.643276976188369";"0.622848101265823";"35.5128974205159";"28501";"33501";"5000";"OPTICS";"142";"";"0.0249553521069136"
"59";"59";"lr";"0.775345354937799";"0.717976878612717";"80.0839832033593";"29001";"34001";"5000";"OPTICS";"141";"";"0.0247646710275983"
"60";"60";"lr";"0.71486356841659";"0.671320474777448";"80.8038392321536";"29501";"34501";"5000";"OPTICS";"137";"";"0.0253277136471642"
"61";"61";"lr";"0.648246114931029";"0.620367412140575";"82.1835632873425";"30001";"35001";"5000";"OPTICS";"146";"";"0.0245201133981219"
"62";"62";"lr";"0.871510379384395";"0.843031496062992";"93.2213557288542";"30501";"35501";"5000";"OPTICS";"141";"";"0.0256135720919491"
"63";"1";"ksvm";"0.634222358471285";"0.631111111111111";"97.8404319136173";"1";"5001";"5000";"OPTICS";"166";"";"0.0217222741487446"
"64";"2";"ksvm";"0.568312324929972";"0.566428571428572";"97.9004199160168";"501";"5501";"5000";"OPTICS";"163";"";"0.0217153169128422"
"65";"3";"ksvm";"0.833641025641026";"0.825238095238095";"97.4205158968206";"1001";"6001";"5000";"OPTICS";"162";"";"0.0216084402980614"
"66";"4";"ksvm";"0.627695625385089";"0.623636363636364";"97.3605278944211";"1501";"6501";"5000";"OPTICS";"161";"";"0.0212130716270751"
"67";"5";"ksvm";"0.78059278631361";"0.77078947368421";"96.5806838632274";"2001";"7001";"5000";"OPTICS";"163";"";"0.0209890698432927"
"68";"6";"ksvm";"0.769347281246595";"0.759736842105263";"96.6406718656269";"2501";"7501";"5000";"OPTICS";"163";"";"0.0208128354457228"
"69";"7";"ksvm";"0.795619360823004";"0.784830508474576";"96.4607078584283";"3001";"8001";"5000";"OPTICS";"162";"";"0.0214766667007877"
"70";"8";"ksvm";"0.543167194852588";"0.541153846153846";"96.1007798440312";"3501";"8501";"5000";"OPTICS";"164";"";"0.0220408441443581"
"71";"9";"ksvm";"0.596080517868227";"0.592857142857143";"96.6406718656269";"4001";"9001";"5000";"OPTICS";"164";"";"0.0224866050323448"
"72";"10";"ksvm";"0.555356721887658";"0.553448275862069";"96.5206958608278";"4501";"9501";"5000";"OPTICS";"165";"";"0.0224941200413135"
"73";"11";"ksvm";"0.81565472723743";"0.805588235294117";"96.9406118776245";"5001";"10001";"5000";"OPTICS";"170";"";"0.0229929890413481"
"74";"12";"ksvm";"0.522434964084644";"0.521470588235294";"96.9406118776245";"5501";"10501";"5000";"OPTICS";"165";"";"0.0233465502930042"
"75";"13";"ksvm";"0.819865655759511";"0.808928571428572";"96.7606478704259";"6001";"11001";"5000";"OPTICS";"157";"";"0.0234674802247198"
"76";"14";"ksvm";"0.78482276119403";"0.772910447761194";"95.8008398320336";"6501";"11501";"5000";"OPTICS";"156";"";"0.023354318360738"
"77";"15";"ksvm";"0.576229203982508";"0.572179487179487";"95.380923815237";"7001";"12001";"5000";"OPTICS";"161";"";"0.0231487426111699"
"78";"16";"ksvm";"0.721747170899713";"0.711621621621621";"95.5608878224355";"7501";"12501";"5000";"OPTICS";"147";"";"0.0236316850163628"
"79";"17";"ksvm";"0.712789179104478";"0.70410447761194";"95.9208158368326";"8001";"13001";"5000";"OPTICS";"150";"";"0.0238838244352389"
"80";"18";"ksvm";"0.622062740706808";"0.616891891891892";"95.6808638272345";"8501";"13501";"5000";"OPTICS";"163";"";"0.0236775722696327"
"81";"19";"ksvm";"0.632975602369731";"0.627272727272727";"96.2207558488302";"9001";"14001";"5000";"OPTICS";"161";"";"0.0234468494520492"
"82";"20";"ksvm";"0.685292580982236";"0.677777777777777";"95.8608278344331";"9501";"14501";"5000";"OPTICS";"152";"";"0.0240453655253962"
"83";"21";"ksvm";"0.890058610199206";"0.873219178082191";"95.9208158368326";"10001";"15001";"5000";"OPTICS";"142";"";"0.0243481070932683"
"84";"22";"ksvm";"0.599355625217694";"0.595277777777777";"95.6808638272345";"10501";"15501";"5000";"OPTICS";"145";"";"0.0241970763128097"
"85";"23";"ksvm";"0.62965661641541";"0.624066666666667";"95.500899820036";"11001";"16001";"5000";"OPTICS";"145";"";"0.0236271506780181"
"86";"24";"ksvm";"0.925346565847511";"0.90525";"95.1409718056389";"11501";"16501";"5000";"OPTICS";"137";"";"0.0231828854622377"
"87";"25";"ksvm";"0.83238032882293";"0.814770114942528";"94.8410317936413";"12001";"17001";"5000";"OPTICS";"141";"";"0.0223525038207599"
