"Itteration";"Model";"AUC";"ALIFT";"ACC";"Lower";"Upper";"Window-size";"Clustering";"Amount of Clusters";"Silhouette";"% Ommited"
"42";"42";"lr";"0.938109161793372";"0.926358024691357";"97.5234068257324";"20501";"25501";"5000";"yes";"2";"0.503171427573857";"1.33973205358928"
"43";"43";"lr";"0.887933340977717";"0.875";"97.5536091815162";"21001";"26001";"5000";"yes";"2";"0.493332226108665";"1.33973205358928"
"44";"44";"lr";"0.940229173118613";"0.929268292682927";"96.8589549984899";"21501";"26501";"5000";"yes";"2";"0.479191384348971";"1.33973205358928"
"45";"45";"lr";"0.930990622217597";"0.916944444444444";"96.5871337964361";"22001";"27001";"5000";"yes";"2";"0.464641646486098";"1.33973205358928"
"46";"46";"lr";"0.943464233936359";"0.929311926605504";"96.8891573542736";"22501";"27501";"5000";"yes";"2";"0.446081672261643";"1.33973205358928"
"47";"47";"lr";"0.940117269014607";"0.926313131313132";"97.0506912442396";"23001";"28001";"5000";"yes";"3";"0.242968718160042";"4.69906018796241"
"48";"48";"lr";"0.941649946030422";"0.928723404255318";"97.1575446023586";"23501";"28501";"5000";"yes";"3";"0.34095124824518";"1.59968006398721"
"49";"49";"lr";"0.888100378178923";"0.878292682926829";"97.4908200734394";"24001";"29001";"5000";"yes";"2";"0.26253806826741";"3.91921615676865"
"50";"50";"lr";"0.913272949365046";"0.903271604938273";"97.6024279210926";"24501";"29501";"5000";"yes";"2";"0.371258753562952";"2.31953609278145"
"51";"51";"lr";"0.900505421048341";"0.889712643678162";"97.4774774774775";"25001";"30001";"5000";"yes";"3";"0.360295473891988";"0.199960007998401"
"52";"52";"lr";"0.849615610775965";"0.841301369863013";"97.7004350528278";"25501";"30501";"5000";"yes";"4";"0.324109102822035";"6.91861627674465"
"53";"53";"lr";"0.89365823752852";"0.881836734693879";"94.9504057709648";"26001";"31001";"5000";"yes";"3";"0.324584205305731";"0.41991601679664"
"54";"54";"lr";"0.888504531189393";"0.87788888888889";"97.1922246220302";"26501";"31501";"5000";"yes";"5";"0.281237024725735";"5.55888822235553"
"55";"55";"lr";"0.916275135950399";"0.903080808080809";"97.1296296296296";"27001";"32001";"5000";"yes";"2";"0.233732183689905";"5.63887222555489"
"56";"56";"lr";"0.890518254041856";"0.880731707317073";"97.467572575664";"27501";"32501";"5000";"yes";"2";"0.232244635392843";"5.75884823035393"
"57";"57";"lr";"0.923115053651962";"0.909257425742574";"96.9591384225531";"28001";"33001";"5000";"yes";"2";"0.279244504542066";"10.5978804239152"
"58";"58";"lr";"0.937591938481595";"0.922850467289719";"96.8996960486322";"28501";"33501";"5000";"yes";"2";"0.376775757960434";"2.61947610477904"
"59";"59";"lr";"0.900299850074962";"0.888043478260871";"97.1685971685972";"29001";"34001";"5000";"yes";"3";"0.209650126378313";"13.5572885422915"
"60";"60";"lr";"0.944376127986296";"0.930588235294117";"96.7644390686423";"29501";"34501";"5000";"yes";"2";"0.259174685967442";"1.61967606478705"
"61";"61";"lr";"0.958058226186339";"0.944381443298969";"97.1826719176007";"30001";"35001";"5000";"yes";"2";"0.243486294434459";"1.93961207758448"
"62";"62";"lr";"0.940242528462998";"0.927187499999999";"97.4524248004911";"30501";"35501";"5000";"yes";"2";"0.193366692432317";"4.55908818236352"
"63";"1";"ksvm";"0.730945730247406";"0.723035714285715";"96.5206958608278";"1";"5001";"5000";"yes";"6";"-0.0164354807536413";"47.1505698860228"
"64";"2";"ksvm";"0.75802870598789";"0.750576923076923";"97.1137521222411";"501";"5501";"5000";"yes";"2";"0.0458963650119672";"39.372125574885"
"65";"3";"ksvm";"0.58154693721704";"0.579047619047619";"97.5950782997763";"1001";"6001";"5000";"yes";"2";"0.0541046767031492";"33.6932613477305"
"66";"4";"ksvm";"0.717185693915949";"0.710901639344262";"96.7564870259481";"1501";"6501";"5000";"yes";"2";"0.0643698246637673";"37.6124775044991"
"67";"5";"ksvm";"0.617757556306519";"0.615204081632652";"97.7385798281321";"2001";"7001";"5000";"yes";"2";"0.067639562689102";"21.2557488502299"
"68";"6";"ksvm";"0.851056211958468";"0.841842105263159";"97.6127320954907";"2501";"7501";"5000";"yes";"4";"0.0578497823474617";"31.373725254949"
"69";"7";"ksvm";"0.520338872738317";"0.519912280701755";"97.7043898509867";"3001";"8001";"5000";"yes";"2";"0.137084082856";"16.2767446510698"
"70";"8";"ksvm";"0.548490780078742";"0.546791044776119";"97.5645219920029";"3501";"8501";"5000";"yes";"2";"0.18191511605549";"13.6172765446911"
"71";"9";"ksvm";"0.552687185178861";"0.551764705882353";"97.3441926345609";"4001";"9001";"5000";"yes";"3";"0.217945540606827";"10.5378924215157"
"72";"10";"ksvm";"0.525254071116";"0.524859154929577";"97.6458885941645";"4501";"9501";"5000";"yes";"2";"0.371581595639742";"9.81803639272145"
"73";"11";"ksvm";"0.594081368139945";"0.591486486486486";"97.6736875196479";"5001";"10001";"5000";"yes";"3";"0.344400076592782";"9.1381723655269"
"74";"12";"ksvm";"0.550194457948469";"0.549285714285714";"97.5562072336266";"5501";"10501";"5000";"yes";"2";"0.282878272020052";"15.876824635073"
"75";"13";"ksvm";"0.534229182931542";"0.533372093023256";"97.2652388797364";"6001";"11001";"5000";"yes";"3";"0.243436745615155";"17.9164167166567"
"76";"14";"ksvm";"0.761796954314721";"0.753200000000001";"96.759410801964";"6501";"11501";"5000";"yes";"2";"0.224052617311947";"16.7166566686663"
"77";"15";"ksvm";"0.674133966322973";"0.668653846153846";"96.7651632970451";"7001";"12001";"5000";"yes";"3";"0.233326810214317";"7.11857628474305"
"78";"16";"ksvm";"0.643244790022103";"0.6384375";"97.1192154459087";"7501";"12501";"5000";"yes";"4";"0.225946495132778";"4.21915616876625"
"79";"17";"ksvm";"0.741753391638573";"0.733659793814433";"96.9037400367872";"8001";"13001";"5000";"yes";"3";"0.228145604395909";"4.27914417116577"
"80";"18";"ksvm";"0.468849724398027";"0.469888888888889";"97.14648065948";"8501";"13501";"5000";"yes";"2";"0.254094174358071";"10.7978404319136"
"81";"19";"ksvm";"0.590779223083885";"0.588648648648648";"97.7564102564102";"9001";"14001";"5000";"yes";"2";"0.30841036945461";"12.8374325134973"
"82";"20";"ksvm";"0.499055346503606";"0.49875";"97.5527684307128";"9501";"14501";"5000";"yes";"2";"0.277841787185732";"3.85922815436912"
