"Itteration";"Model";"AUC";"ALIFT";"ACC";"Lower";"Upper";"Window-size";"Clustering";"Amount of Clusters";"Silhouette";"% Ommited"
"50";"50";"lr";"0.911476876285893";"0.894";"96.0407918416317";"24501";"29501";"5000";"DBSCAN";"4";"";""
"51";"51";"lr";"0.89422585205908";"0.874166666666667";"95.0809838032393";"25001";"30001";"5000";"DBSCAN";"4";"";""
"52";"52";"lr";"0.905509288917361";"0.879811320754717";"93.7612477504499";"25501";"30501";"5000";"DBSCAN";"4";"";""
"53";"53";"lr";"0.682501251166628";"0.66563829787234";"94.3611277744451";"26001";"31001";"5000";"DBSCAN";"5";"";""
"54";"54";"lr";"0.771479421579533";"0.735967741935484";"76.6646670665867";"26501";"31501";"5000";"DBSCAN";"6";"";""
"55";"55";"lr";"0.75227895392279";"0.713116438356164";"83.3833233353329";"27001";"32001";"5000";"DBSCAN";"7";"";""
"56";"56";"lr";"0.756950556435682";"0.710819397993311";"82.4235152969406";"27501";"32501";"5000";"DBSCAN";"7";"";""
"57";"57";"lr";"0.793637085566806";"0.757125603864734";"69.5860827834433";"28001";"33001";"5000";"DBSCAN";"5";"";""
"58";"58";"lr";"0.644651972500074";"0.624071729957806";"36.3527294541092";"28501";"33501";"5000";"DBSCAN";"5";"";""
"59";"59";"lr";"0.774266736095006";"0.717312138728324";"80.0839832033593";"29001";"34001";"5000";"DBSCAN";"5";"";""
"60";"60";"lr";"0.71932576247741";"0.674762611275965";"80.6838632273545";"29501";"34501";"5000";"DBSCAN";"6";"";""
"61";"61";"lr";"0.650173901963653";"0.621996805111821";"82.0635872825435";"30001";"35001";"5000";"DBSCAN";"4";"";""
"62";"62";"lr";"0.870538909908989";"0.842165354330709";"93.2213557288542";"30501";"35501";"5000";"DBSCAN";"4";"";""
"63";"1";"ksvm";"0.619967300224811";"0.6175";"97.8404319136173";"1";"5001";"5000";"DBSCAN";"3";"";""
"64";"2";"ksvm";"0.571341036414566";"0.569";"97.9004199160168";"501";"5501";"5000";"DBSCAN";"3";"";""
"65";"3";"ksvm";"0.844820512820513";"0.835952380952381";"97.4205158968206";"1001";"6001";"5000";"DBSCAN";"3";"";""
"66";"4";"ksvm";"0.597588640564611";"0.595";"97.3605278944211";"1501";"6501";"5000";"DBSCAN";"3";"";""
"67";"5";"ksvm";"0.780451127819549";"0.770614035087719";"96.5806838632274";"2001";"7001";"5000";"DBSCAN";"3";"";""
"68";"6";"ksvm";"0.766655769859431";"0.756929824561403";"96.5806838632274";"2501";"7501";"5000";"DBSCAN";"2";"";""
"69";"7";"ksvm";"0.803767181043933";"0.792796610169491";"96.4607078584283";"3001";"8001";"5000";"DBSCAN";"3";"";""
"70";"8";"ksvm";"0.547373475463363";"0.545461538461538";"96.1007798440312";"3501";"8501";"5000";"DBSCAN";"3";"";""
"71";"9";"ksvm";"0.594451095149419";"0.591428571428572";"96.6406718656269";"4001";"9001";"5000";"DBSCAN";"3";"";""
"72";"10";"ksvm";"0.543612438653265";"0.541896551724138";"96.5206958608278";"4501";"9501";"5000";"DBSCAN";"3";"";""
"73";"11";"ksvm";"0.816892350999806";"0.80735294117647";"96.9406118776245";"5001";"10001";"5000";"DBSCAN";"3";"";""
"74";"12";"ksvm";"0.52367258784702";"0.522647058823529";"96.9406118776245";"5501";"10501";"5000";"DBSCAN";"4";"";""
"75";"13";"ksvm";"0.808825485501463";"0.798571428571429";"96.7606478704259";"6001";"11001";"5000";"DBSCAN";"6";"";""
"76";"14";"ksvm";"0.783003731343284";"0.772014925373134";"95.8008398320336";"6501";"11501";"5000";"DBSCAN";"3";"";""
"77";"15";"ksvm";"0.573122912329961";"0.569871794871795";"95.380923815237";"7001";"12001";"5000";"DBSCAN";"3";"";""
"78";"16";"ksvm";"0.727821041380363";"0.717837837837837";"95.5608878224355";"7501";"12501";"5000";"DBSCAN";"5";"";""
"79";"17";"ksvm";"0.71347947761194";"0.704850746268656";"95.9208158368326";"8001";"13001";"5000";"DBSCAN";"4";"";""
"80";"18";"ksvm";"0.630868156291885";"0.62527027027027";"95.6808638272345";"8501";"13501";"5000";"DBSCAN";"4";"";""
"81";"19";"ksvm";"0.640735903696553";"0.634545454545455";"96.1607678464307";"9001";"14001";"5000";"DBSCAN";"4";"";""
"82";"20";"ksvm";"0.684134447927551";"0.676666666666667";"95.9208158368326";"9501";"14501";"5000";"DBSCAN";"4";"";""
"83";"21";"ksvm";"0.889740636977707";"0.873082191780822";"95.8608278344331";"10001";"15001";"5000";"DBSCAN";"4";"";""
"84";"22";"ksvm";"0.59649947753396";"0.591944444444444";"95.6808638272345";"10501";"15501";"5000";"DBSCAN";"5";"";""
"85";"23";"ksvm";"0.62715242881072";"0.621133333333333";"95.5608878224355";"11001";"16001";"5000";"DBSCAN";"4";"";""
"86";"24";"ksvm";"0.926646187775677";"0.906375";"95.2009598080384";"11501";"16501";"5000";"DBSCAN";"3";"";""
"87";"25";"ksvm";"0.823003055434308";"0.805689655172413";"94.9010197960408";"12001";"17001";"5000";"DBSCAN";"3";"";""
"88";"26";"ksvm";"0.851620931716656";"0.8302";"94.0611877624475";"12501";"17501";"5000";"DBSCAN";"2";"";""
"89";"27";"ksvm";"0.858912840198829";"0.836442307692307";"94.0611877624475";"13001";"18001";"5000";"DBSCAN";"2";"";""
"90";"28";"ksvm";"0.593104042259991";"0.587142857142857";"93.0413917216557";"13501";"18501";"5000";"DBSCAN";"3";"";""
"91";"29";"ksvm";"0.610775107432755";"0.602786885245902";"92.9214157168566";"14001";"19001";"5000";"DBSCAN";"4";"";""
"92";"30";"ksvm";"0.552393643273122";"0.548181818181818";"92.1415716856629";"14501";"19501";"5000";"DBSCAN";"4";"";""
"93";"31";"ksvm";"0.638249680866687";"0.62859649122807";"93.1613677264547";"15001";"20001";"5000";"DBSCAN";"4";"";""
"94";"32";"ksvm";"0.599020621093558";"0.593269230769231";"93.8212357528494";"15501";"20501";"5000";"DBSCAN";"4";"";""
"95";"33";"ksvm";"0.482195920741499";"0.482821782178218";"93.9412117576485";"16001";"21001";"5000";"DBSCAN";"4";"";""
"96";"34";"ksvm";"0.801123165283982";"0.7829";"93.9412117576485";"16501";"21501";"5000";"DBSCAN";"4";"";""
"97";"35";"ksvm";"0.699770175323396";"0.688092783505155";"94.1811637672465";"17001";"22001";"5000";"DBSCAN";"4";"";""
"98";"36";"ksvm";"0.729033362913144";"0.717962962962963";"95.4409118176365";"17501";"22501";"5000";"DBSCAN";"4";"";""
"99";"37";"ksvm";"0.777139030341608";"0.760833333333333";"94.4811037792442";"18001";"23001";"5000";"DBSCAN";"4";"";""
"100";"38";"ksvm";"0.838565689629519";"0.819574468085107";"94.6610677864427";"18501";"23501";"5000";"DBSCAN";"3";"";""
"101";"39";"ksvm";"0.852288088422392";"0.824618320610686";"92.50149970006";"19001";"24001";"5000";"DBSCAN";"2";"";""
"102";"40";"ksvm";"0.531983234340115";"0.529634146341464";"92.5614877024595";"19501";"24501";"5000";"DBSCAN";"5";"";""
"103";"41";"ksvm";"0.868079137752842";"0.844807692307692";"94.121175764847";"20001";"25001";"5000";"DBSCAN";"5";"";""
"104";"42";"ksvm";"0.939720812182741";"0.914999999999999";"94.9010197960408";"20501";"25501";"5000";"DBSCAN";"5";"";""
"105";"43";"ksvm";"0.931730289957203";"0.912397260273973";"95.500899820036";"21001";"26001";"5000";"DBSCAN";"5";"";""
"106";"44";"ksvm";"0.904186420967886";"0.887285714285714";"95.7408518296341";"21501";"26501";"5000";"DBSCAN";"5";"";""
"107";"45";"ksvm";"0.787338063468531";"0.775140845070423";"95.7408518296341";"22001";"27001";"5000";"DBSCAN";"5";"";""
"108";"46";"ksvm";"0.383131897004729";"0.390727272727273";"93.2213557288542";"22501";"27501";"5000";"DBSCAN";"5";"";""
"109";"47";"ksvm";"0.701720000950277";"0.688518518518518";"93.3413317336533";"23001";"28001";"5000";"DBSCAN";"5";"";""
"110";"48";"ksvm";"0.7877920691282";"0.769854368932039";"93.881223755249";"23501";"28501";"5000";"DBSCAN";"5";"";""
"111";"49";"ksvm";"0.888923128641865";"0.86195652173913";"93.4613077384523";"24001";"29001";"5000";"DBSCAN";"4";"";""
